ST_ID,LATITUDE,LONGITUDE,NAME,OSM_ID
1193.0,51.8823,43.3614,Летяжевка,7140063027.0
1199.0,51.972195,43.2732584,Турки,1829905915.0
1200.0,51.9379,43.5027,Аркадак,7140063029.0
1205.0,52.1028,43.6641,Кистендей,910773222.0
1208.0,52.2397,43.7892,Шуклино,8945378148.0
1209.0,51.8477,42.48,Мучкап,1588621443.0
1213.0,51.7483,42.7425,Романовка,2089709496.0
1219.0,51.5534,43.0681,Пинеровка,2089708792.0
1221.0,51.5289,43.2188,Балашов-II,2089696734.0
1224.0,51.3224,43.4246,Святославка,2089682672.0
1228.0,51.1604,43.6978,Три Острова,2089682673.0
1230.0,50.9585,43.7886,Елань-Камышинская,2089696735.0
1232.0,50.8981,43.9764,Морец,3745940268.0
1233.0,50.8572,44.1877,Матышево,3745939258.0
1236.0,52.5644,42.9656,Умёт,10083886504.0
1239.0,52.5425,43.2479,Тамала,3526816578.0
1246.0,52.417,43.5292,Вертуновская,909868435.0
1254.0,52.4576,43.7133,Беково,910860528.0
1257.0,52.2606,43.7883,Ртищево-1,2014361423.0
1261.0,52.2605,43.9176,Обгонный пункт Дубасовский,3092391815.0
1266.0,52.2088,43.8847,Благодатка,909868416.0
1267.0,52.4647,44.1908,Сердобск,652946993.0
1272.0,52.4845,44.2785,Тащиловка,7294182614.0
1275.0,52.5587,44.371,Балтинка,309429266.0
1278.0,52.7004,44.5263,Колышлей,910859575.0
1282.0,52.8214,44.7288,Саловка,1312335010.0
1288.0,53.0466,44.8652,Ардым,10631167759.0
1291.0,52.1161,44.0739,Салтыковка,10629645109.0
1295.0,52.0554,44.3441,Екатериновка,909868490.0
1298.0,51.9895,44.7045,Лопуховка,309423180.0
1302.0,51.9267,44.895,Капеллы,909868453.0
1303.0,51.8778,45.0106,Аткарск,4072001996.0
1304.0,51.8733,45.0673,Красавка,10624197661.0
1312.0,51.6612,44.928,Юная,823534004.0
1313.0,51.5506,44.8314,Лысые Горы,916806458.0
